Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chile,CHL,29.02,29.24,28.93,28.21,31.5,31.6,33.78,31.46,33.15,33.43,31.54,28.78,33.71,34.99,34.52,37.17,36.68,39.68,40.33,43.63,43.85,40.97,42.69,42.7,44.57,47.04,50.39,54.47,58.22,60.02,62.74,66.81,72.24,76.69,79.51,79.49,81.65,81.16,83.33,89.94,90.07,91.84,95.05,99.62,105.33,102.02,104.55,104.27,109.77,115.76,114.85,117.38,,
China,CHN,14.1,14.88,16.03,17.37,18.4,18.65,18.55,18.76,19.65,20.76,20.65,22.43,22.5,23.06,22.93,23.19,25.57,27.07,27.14,28.66,31.24,33.4,36.53,36.99,38.91,41.04,42.28,43.94,48.09,49.42,52.16,56.48,59.93,64.97,69.72,72.07,76.41,79.46,83.34,84.76,88.69,90.67,96.54,100.38,103.08,108.12,113.92,116.83,119.95,123.33,127.64,129.46,,
Cote d'Ivoire,CIV,19.66,19.68,21.26,21.38,22.72,23.95,24.7,26.34,26.88,29.38,28.51,30.54,34.33,38.4,37.71,38.71,41.2,43.85,46.04,48.03,47.34,46.54,54.08,53.58,55.85,57.74,61.96,62.24,66.26,66.22,69.09,70.22,72.78,80.43,85.3,86.13,87.76,89.03,94.94,90.79,93.72,93.54,97.87,98.03,104.1,101.15,108.1,102.29,110,115.13,123.12,125.75,,
Cameroon,CMR,27.35,29.49,30.39,28,29.55,32.54,33.95,33.49,36.81,38.39,40.18,41.31,44.51,44.65,43.13,44.28,43.38,44.54,45.31,46.13,47.74,49.07,48.14,52.22,55.65,50.52,52.2,54.33,56.85,58,59.03,62.1,64.56,67.82,71.17,68.83,72.19,75.54,77.33,79.19,81.21,84.75,88.63,101.94,109.43,115.78,121.23,131.42,142.17,147.73,154.89,160.17,,
"Congo, Rep.",COG,39.97,40.73,42.33,43.59,45.08,48.66,48.6,48.01,47.78,48.93,47.16,48.55,46.93,48.34,49.12,49.36,48.93,50.79,52.06,54.27,57.06,56.22,58.6,61.01,60.38,61.9,63.62,62.46,62.66,60.71,62.05,63.37,67.29,72.77,75.47,76.07,75.89,81.19,82.64,83.53,86.35,87.52,93.92,100.31,105.77,109.97,116.29,119.39,123.57,125.97,132.36,136,,
Colombia,COL,29.57,29.17,30.71,31.28,31.22,31.9,33.17,33.83,35.4,37.53,38.13,38.43,41.17,44.92,47.7,47.64,50.31,52.21,52.71,54.22,53.51,52.27,54.13,54.77,56.6,58.26,62.13,67.12,69.97,71.08,70.14,71.95,74.13,78.48,79.14,81.78,80.92,86.05,87.42,88.56,90.49,93.27,97.55,98.85,103.6,106.8,110.69,106.8,104.22,106.16,110.7,116.57,,
Comoros,COM,41.54,46.35,47.07,48.02,49.14,49.67,50.37,52.96,51.28,53.03,52.68,52.66,56.47,56.72,56.57,59.97,60.4,60.32,61.61,57.59,62.22,63.54,60.3,62.93,65.7,71,73.53,73.74,79.73,81.8,83.66,86.91,87.07,87.49,89.82,88.05,92.73,94.52,95.42,96.99,96.68,98.65,102.21,95.61,102.18,101.99,99.49,107.58,113.32,109.05,111.7,112.92,,
Cabo Verde,CPV,30.09,31.57,34.09,37.54,38.95,39.09,29.5,29.83,26.14,23.04,22.79,22.05,21.25,21.77,24.48,24.69,27.33,27.88,37.46,28.31,31.3,26.5,33.17,33.72,38.22,56.37,58.11,59.25,54.88,51.46,61.77,62.42,53.44,66.38,56.72,62.53,70.98,81.59,92.39,93.62,92.97,95.84,97.97,98.82,103.21,107.18,111.29,112.88,113.69,87.39,90.16,88.62,,
Costa Rica,CRI,15.71,16.67,17.71,18.33,18.98,19.76,23.56,25.76,28.62,30.53,32.02,33.21,32.26,36.53,37.74,38.32,38.39,39.52,38.48,39.37,36.9,39.19,40.81,42.05,43.41,44.84,46.34,53.9,59.06,62.65,65.62,66.68,71.64,74.51,77.88,79.12,83.11,87.19,87.22,88.22,85.14,89.39,91.67,97.66,110.67,108.11,106.46,109.11,114.88,116.94,119.96,123.51,,
Caribbean small states,CSS,68.94716985,70.63357918,73.73311313,77.71367395,78.44418101,79.26892899,76.98246778,77.05839186,78.27890982,80.53013554,78.37398969,75.36555065,79.37722217,78.17180514,79.9865723,81.86726617,85.60914855,81.33593747,81.39780929,81.5631504,81.47995551,77.9984941,82.95117672,80.99644639,83.5362675,82.44333834,83.72069448,79.6493184,84.84704142,86.94662873,94.09761394,95.62504413,95.61092197,101.6027018,105.9463838,102.6843751,96.45832134,102.0048337,98.08740311,100.5084443,100.5351505,103.2665995,103.4761947,96.10673555,100.4170697,100.7526457,96.55563839,100.5884931,102.5643368,104.1174246,107.6136373,112.1036445,,
