Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Congo, Rep.",COG,3.730769231,4.134615385,4.749034749,7.876447876,8.687258687,9.922779923,10.55984556,11.59922929,11.88461538,12.26923077,12.34615385,12.32824427,12.30038023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,54.50453001,57.4084507,56.69014085,57.68258427,58.26330532,59.23529412,60.34173669,62.02967525,63.5862262,65.68429891,67.03177258,66.03773585,65.63415308,66.5392022,67.45479452,69.81451173,71.99130671,74.38463619,76.5705819,79.13090129,82.82126636,85.12902368,87.61526232,88.2585752,88.717477,89.51882845,93.98186315,95.04608295,96.82299546,102.0408163,94.46254072,92.37085186,88.27683616,95.87328053,86.31319359,82.70972824,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,0.526315789,0.526315789,0.789473684,0.789473684,0.789473684,1.052631579,1.052631579,1.315789474,1.315789474,1.578947368,1.578947368,1.842105263,1.842105263,2.368421053,2.368421053,2.894736842,2.894736842,3.421052632,3.421052632,3.947368421,3.947368421,4.210526316,4.736842105,5.263157895,5.789473684,6.315789474,6.5,6.75,7.073170732,7.56097561,8.048780488,8.536585366,9.024390244,9.285714286,9.761904762,9.772727273,10.22727273,10.45454545,10.90909091,10.86956522,11.06382979,11.4893617,11.91489362,,,,,,,,,,,
Costa Rica,CRI,147.3684211,156.2807018,157.8947368,161.4035088,164.9122807,168.4210526,171.9298246,175.4385965,178.9473684,182.4561404,185.9649123,191.9434629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,118.9173789,123.9772727,142.5070822,160.3617945,176.3309353,129.1977077,133.4383954,142.633864,146.3556851,152.797075,158.6162362,159.8378378,159.7699083,166.3537906,166.2435678,161.9148936,351.4361702,355.8028617,313.5809019,374.1182854,391.8435754,408.2901554,409.9145299,424.6082414,488.7281036,484.2857143,484.4029851,488.9552239,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,99.66777409,113.0653266,113.507378,135.8024691,154.7388781,147.6668636,137.6476631,205.8672156,223.3766234,235.8410189,183.2030651,192.1551724,199.8748103,191.1184669,161.9854642,212.5470142,218.5408432,236.2336354,229.1946309,219.81,218.0622951,213.7483871,212.1017058,216.4930556,226.8892308,223.4324324,221.6538462,225.7659512,226.1928635,223.0567686,214.0951049,210.6253444,207.205643,207.0982628,218.6886657,209.845645,212.7867935,210.4376731,216.5724886,213.5981967,199.3812533,201.6071429,203.8909876,205.5555556,207.4821134,203.1961937,,,,,,,,
Cyprus,CYP,360,399,457.4,471.8,564.8,491.9,569.9,619.3,618.2,805.6,880.1,917.6,911,904.5,898,865.5339806,920,974.368932,1028.834951,1083.300971,1137.76699,1192.135922,1246.601942,1174.660194,1222.135922,1271.84466,1307.692308,1355.769231,1377.358491,1401.869159,1425.925926,1458.715596,1633.663366,1676.767677,1696.969697,1724.489796,1587.722772,1502.178218,1460.102041,,,,,,,,,,,,,,,
Germany,DEU,902.0114895,957.1656391,1007.000247,1060.126718,1108.561909,1158.274546,1194.528757,1237.912674,1259.174197,1289.414125,1295.507331,1302.209341,1303.403494,1310.175235,1306.772566,1317.294342,1321.293232,1333.907274,1341.23192,1345.288237,1354.090188,1366.93574,1370.963855,1372.940537,1375.028428,1368.328171,1353.349515,1334.725082,1309.414418,1297.690112,1152.786256,1113.394998,1068.530284,1027.207436,1005.492184,943.224307,902.6104891,871.9125359,838.2649949,,,,,,,,,,,,,,,
Djibouti,DJI,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,60,60,46.15384615,,,,,,,,,
Dominica,DMA,40,40,45,52.5,68.57142857,77.14285714,77.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,493.0111792,531.4832362,573.5289802,600.571853,619.102755,638.2867784,644.8960653,649.1896938,656.2908681,653.5700793,651.9954734,673.8484734,691.6319576,698.1132075,687.3089951,725.5631399,718.5508891,718.1907646,717.7946192,687.7095184,696.3307985,678.7504821,649.7358346,639.4232987,649.8612182,639.833204,655.3632813,651.8978389,634.7325264,629.4623234,610.5986609,610.5329649,619.7589852,651.4877102,601.287683,597.4334038,549.4505495,563.9799477,540.20605,529.0357766,524.1212654,517.7625772,508.4178052,486.2864494,,,,,,,,,,
Dominican Republic,DOM,24.52054795,24.45945946,24.4,24.34210526,24.28571429,24.23076923,24.48717949,23.6809816,23.7804878,23.84987893,23.41176471,23.23699422,22.93785311,22.40437158,21.5625,21.11111111,20.78817734,20.48076923,20.09345794,20.18604651,20.37209302,20.55813953,20.74418605,20.93023256,21.11627907,23.10797175,23.30978809,23.31658291,25.88888889,25.55555556,25,24.44444444,23.88888889,23.33333333,22.77777778,23.25581395,22.4137931,22.35294118,21.52073733,,,,,,,,,,,,,,,
Algeria,DZA,43.33333333,44.35483871,45.66210046,45.6230856,48.22375824,62.68846215,63.75140157,64.17455479,64.34058899,63.47962382,62.51920123,62.96068796,63.11124694,60.62819576,58.93965031,60.83429896,61.15351132,66.96903301,68.36363636,69.7167756,71.50123529,76.27275485,88.67534346,108.9869754,118.6263815,126.2851889,129.1367413,111.9497826,129.1145318,135.2024793,121.113462,128.1561131,121.1274575,121.298045,122.3547401,120.8183007,121.1330114,122.8450411,124.9243017,128.1498088,129.4554127,130.3357011,130.5338316,133.3084809,137.0321285,138.6504217,139.5767125,,,,,,,
East Asia & Pacific (developing only),EAP,6.039163004,6.638095934,7.176834142,7.734077658,9.61160342,11.4574166,13.62548232,15.52978237,12.50918663,14.43867753,17.21388392,20.22247093,23.17746543,27.69791596,31.1126601,35.93828839,42.41333929,49.95493508,55.34068715,58.67032137,58.78454696,59.10320706,58.69444752,53.70895995,54.66107668,55.39510915,55.35584776,54.57916774,53.39137639,53.33592917,53.72864343,53.96371072,57.06276452,58.39282312,58.82850403,62.07757094,,,,,,,,,,,,,,,,,,
East Asia & Pacific (all income levels),EAS,22.99247171,24.37513344,25.59152695,27.86594232,31.09307907,34.45353156,39.7885032,45.32458899,42.94182349,44.91185043,47.76008432,52.64589407,64.02653614,74.97569432,84.59345942,95.91958374,110.4208234,117.3934148,145.1034018,144.637975,149.3881737,149.3358785,149.2672974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,9.17888563,9.473684211,9.941520468,11.66180758,13.48688047,14.24418605,15.74344023,16.86046512,17.97101449,19.65317919,21.32564841,24.13793103,28.20878494,29.65116279,31,32.96969697,34.55900621,37.21518987,40.19455253,42.775,46.30154639,47.43589744,48.25396825,49.05660377,49.84423676,50.74257426,51.69230769,54.32722678,54.2394015,53.52798054,54.50091855,56.72402804,87.29179519,90.21601017,88.98568762,90.11808577,90.82397004,90.68322981,90.66831683,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,54.2540074,55.946954,57.80346821,56.15801704,55.90756616,57.1640683,57.95310755,62.24587156,63.48623853,64.22669104,67.88990826,73.58060962,77.1666051,79.89594946,84.74576271,89.90796319,118.1628392,148.3897569,157.480315,167.4859124,181.7787419,195.8405546,209.95671,224.9718004,224.3313201,228.5402098,229.4372294,239.5470383,249.5621716,260.2558447,242.1595871,274.3203372,277.0414617,316.2229322,312.0567376,303.4580099,303.4580099,287.241149,307.9435916,322.2754282,317.9155313,325.1273228,324.6711636,382.5634023,385.0940499,400.0936037,390.5677517,,,,,,,
Euro area,EMU,367.6043924,400.9405309,438.7051117,469.780797,506.726718,537.1865783,571.4024711,599.7101718,626.1776443,675.6828842,699.521692,723.463096,741.8022723,763.9155191,785.9900784,807.9845755,825.0375925,848.0048002,877.7296964,892.6026281,907.8171264,928.6401246,935.3999851,946.0853522,956.897162,964.9789325,983.8059205,988.6869431,989.354516,990.8172758,920.5751344,909.2586964,914.0590555,931.4862136,926.4297301,924.8055542,928.2615709,930.6720815,936.3316769,1003.09461,1019.933,823.4243933,818.4078704,815.0536427,,,,,,,,,,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.020080321,6.178489703,6.849315068,8.970189702,11.25319693,12.30923695,11.24497992,8.267857143,,,,,,,,,,,,,,,
Spain,ESP,56.9188758,70.60166615,81.74634085,92.62432669,109.0895609,114.8138501,130.2300535,148.9516229,165.5952836,172.820246,187.9844057,205.8421577,223.3660008,239.5992668,256.0694897,269.6052463,291.3523018,315.5700347,336.7444402,352.0328859,366.9604883,379.6883017,390.66705,406.842714,422.6315451,435.4979466,450.6182192,465.872228,483.0974894,495.3093459,504.0898625,517.4856494,533.396596,573.5799217,569.9716263,589.3818691,630.0350775,655.1117879,671.4179104,708.5793019,732.8631188,724.938926,742.1097889,759.5508402,786.3380503,807.2803115,825.1441384,831.1802833,,,,,,
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.264574,454.2776735,514.4994731,565.0686499,570.1131222,569.8986486,573.934611,590.523865,600.5219454,774.6085672,588.4502447,673.3394495,717.7220077,546.2098139,604.7311828,,,,,,,,,
European Union,EUU,301.4161696,327.22313,353.5647104,376.1337487,399.4637404,419.458283,441.3080008,463.1760004,481.0390417,511.5257476,529.3882508,548.2937876,564.6734321,584.6475076,599.7072714,617.779512,631.4779601,653.5117808,675.5196081,690.5685214,705.1039104,720.8329955,728.0006324,744.7385866,756.9775129,765.5860179,779.290624,790.8104155,793.5578712,796.9986892,755.1375012,735.1153368,752.1496799,763.1902348,759.0501061,757.1987589,762.2395524,762.9583942,772.9534603,791.8818258,813.4928415,697.1116372,697.6375015,708.3480792,,,,,,,,,,
Fragile and conflict affected situations,FCS,5.049789004,5.556209002,6.020255289,6.566894305,7.296047889,7.751196172,8.34622824,9.192210044,10.16309516,10.79777658,13.40665884,14.41551794,15.40571748,16.94040851,17.88782152,18.64856424,19.8301903,20.79805762,22.15222827,23.52054047,25.04878961,26.54781751,26.99136325,28.40239084,29.66589085,30.33515225,31.20563674,32.23349396,33.28594925,33.49377123,37.03604062,36.81979514,38.69593658,40.84254863,39.98474051,,,,,,,,,,,,,,,,,,,
Finland,FIN,341.8100224,424.8317128,454.0014959,474.5699327,491.5856395,514.21092,541.7138543,584.0707965,602.4096386,627.6971361,652.4317912,680.5444355,706.2146893,726.2341901,784.3137255,811.3673806,838.1984987,857.8637511,894.8923596,926.4768381,976.344086,1012.110727,1003.928416,996.9190141,988.0372175,957.1678322,957.6837416,937.5276916,916.4918466,894.1637631,889.0350877,880.5633803,859.7560976,911.0009355,897.0727101,859.2661403,821.3309025,807.0902394,780.7650023,781.535649,783.6363636,784.1628959,784.1369986,784.0357942,,,,,,,,,,
Fiji,FJI,109.5505618,116.2790698,116.2790698,148.1481481,172.8395062,202.5316456,268.6567164,298.5074627,328.358209,358.2089552,371.4285714,400,428.5714286,426.6666667,425,423.5294118,422.2222222,444.4444444,472.2222222,473.6842105,475,476.1904762,454.5454545,458.3333333,483.3333333,461.5384615,453.5714286,433.3333333,418.75,406.5497076,386.2222222,380.1666667,374.1111111,368.0555556,362,355.9444444,370.4705882,364.0588235,357.6470588,,344.8235294,332,332,337.3529412,342.0588235,348.6982249,354.0236686,,,,,,,
France,FRA,411.8986175,445.9912619,499.3804382,530.1244946,569.3403022,612.2554769,670.4914955,688.3079989,706.3214101,749.1791745,767.6631233,772.6953673,773.9321681,786.3924306,801.1207752,810.5786273,814.2684262,818.6311132,843.4065934,847.0843318,846.1843522,846.1146641,837.4417429,832.0035708,825.0361151,815.2694446,828.2714871,814.1612687,800.0444469,782.1167073,770.2537959,745.0013695,726.1410788,716.3844894,705.3805774,698.1441048,694.4671573,691.1011872,685.4663774,685.2062666,685.1319855,668.8607183,652.889876,635.3215964,,,,,,,,,,
United Kingdom,GBR,646.7661692,652.9209622,655.7111776,647.2271427,635.1993446,632.5940621,625.7729834,645.5060729,629.1368629,642.8323051,652.1461636,664.3109541,673.2644687,720.2474887,700.4221062,693.9459616,692.4452134,744.1411627,740.8123735,746.2791371,753.3748011,767.4126685,756.6310315,751.8583691,749.9927954,749.0915645,747.8942782,760.6386153,,,,,,,,,,,,,,,,,,,,,,,,,,
