Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bermuda,BMU,0.006437768,0.006289308,0.008179959,0.007984032,0.007843137,0.007692308,0.005660377,0.005555556,0.005454545,0.005494505,0.005535055,0.005576208,0.005617978,0.005660377,0.005639098,0.005617978,0.005597015,0.005576208,0.00548747,0.005449591,0.005410377,0.005363848,0.005316981,0.005272593,0.00522812,0.005185915,0.005141653,0.005098486,0.005056805,0.005082937,0.005119891,0.005092514,0.005057316,0.006695009,0.006652364,0.006611898,0.00656351,0.006526883,0.006469038,0.00639959,0.006358087,0.006316621,0.006275494,0.006234997,0.00619934,0.006164468,0.004596081,0.004570662,0.004606597,0.004646552,0.004629773,0.004615314
Bolivia,BOL,0.337667427,0.33321434,0.336018222,0.337788871,0.34050423,0.341741076,0.344120557,0.345977328,0.347110175,0.345824758,0.347800915,0.349691884,0.34902889,0.349752329,0.352941199,0.352524621,0.350820138,0.349233323,0.347611588,0.346663053,0.345833021,0.344129711,0.343932355,0.3300304,0.325029154,0.32019869,0.315496314,0.310870995,0.30629006,0.301750971,0.30147094,0.30245439,0.316760086,0.343610095,0.348560955,0.364890241,0.370533862,0.375181327,0.377000477,0.370746217,0.381355506,0.398845912,0.399097208,0.417077379,0.41590612,0.416354127,0.41979534,0.422388042,0.400171603,0.397688564,0.425149056,0.4267336
Brazil,BRA,0.311657757,0.327586075,0.330267949,0.332818016,0.335279546,0.337633741,0.35082715,0.352617801,0.364649985,0.376007853,0.376818181,0.377465185,0.387354211,0.387342088,0.387122111,0.386723205,0.377578195,0.376231412,0.368249613,0.364486885,0.367030488,0.358739365,0.351622294,0.345668187,0.350840416,0.347520894,0.343092245,0.337614255,0.336990098,0.340041005,0.333397673,0.331178409,0.329120384,0.356726249,0.350011468,0.344193698,0.338484581,0.333501458,0.328673814,0.331079475,0.339715534,0.351984625,0.367119789,0.366921047,0.364649404,0.354738024,0.360682393,0.358106432,0.354269721,0.36043223,0.35872743,0.372115597
Barbados,BRB,0.06879235,0.068496963,0.068216605,0.067977211,0.06778426,0.067618967,0.06745391,0.06725204,0.066988491,0.066656113,0.066268778,0.065849041,0.065429236,0.065031927,0.064661095,0.064312559,0.063991041,0.063700354,0.063442468,0.063221116,0.063032824,0.062864664,0.062697153,0.062517339,0.062320342,0.062109631,0.061889805,0.061667964,0.061450068,0.061236753,0.061025844,0.060815459,0.060602617,0.060386018,0.060163947,0.059937665,0.059712856,0.05577867,0.055588909,0.055414761,0.051569366,0.051421247,0.04760318,0.047443005,0.047265852,0.047075183,0.046878099,0.046684335,0.042923675,0.039201431,0.039065275,0.03893764
Brunei Darussalam,BRN,0.044641362,0.042712226,0.040844251,0.039014874,0.055839926,0.053248136,0.05077173,0.048435923,0.04625026,0.029473312,0.028201585,0.027014797,0.025907575,0.024875777,0.023911575,0.023011517,0.022178235,0.021414881,0.015539452,0.015065081,0.014629793,0.014222526,0.013831705,0.013449959,0.013076568,0.012712942,0.012358393,0.012012589,0.007783949,0.007565298,0.007353239,0.007150084,0.006958385,0.006779431,0.006612685,0.006456903,0.006311677,0.006176423,0.006050449,0.005933415,0.0058244,0.005721528,0.005622716,0.005526556,0.005432568,0.008011558,0.007878441,0.010333781,0.010170302,0.010013944,0.009864073,0.012150698
Bhutan,BTN,0.426070395,0.416035679,0.405969374,0.395837374,0.385698307,0.375526206,0.36513941,0.354346054,0.377414164,0.364657404,0.351761365,0.339019617,0.341573674,0.329375104,0.331618131,0.320169903,0.309492922,0.312204966,0.315104918,0.306685508,0.310784212,0.325997271,0.317888344,0.309161852,0.29949334,0.291445089,0.272691406,0.251282865,0.252098486,0.252488414,0.255640664,0.262119661,0.273767946,0.286894991,0.294704876,0.293712818,0.286782154,0.279000049,0.187880969,0.191120968,0.185488143,0.180056255,0.249119017,0.256464203,0.226863792,0.200008511,0.143886962,0.14127686,0.1396745,0.136839259,0.134729754,0.132779071
Botswana,BWA,0.725467736,0.70705066,0.688453309,0.67143272,0.652581777,0.633637268,0.614694266,0.595854343,0.577183087,0.558806724,0.542072094,0.524061753,0.505985391,0.48781734,0.469632024,0.451681867,0.434309356,0.41993777,0.404484052,0.39009828,0.378518116,0.365819621,0.353799545,0.344057443,0.333151069,0.324417793,0.314591911,0.308998345,0.304388852,0.211253026,0.171179764,0.233277969,0.256637657,0.218868217,0.214042822,0.182277078,0.137058872,0.140484954,0.201545683,0.113473181,0.137126456,0.107708742,0.123110445,0.128755158,0.106031057,0.094279464,0.141777946,0.157432299,0.12647528,0.155045734,0.133625778,0.12497071
Central African Republic,CAF,1.085660544,1.072037786,1.057831199,1.04316394,1.028003285,1.012476739,0.997003293,0.982060653,0.967895402,0.954547965,0.941757309,0.929088363,0.916006737,0.902160675,0.887680738,0.872692641,0.856940103,0.840150902,0.822305137,0.799056857,0.779535372,0.760359598,0.742642368,0.723141754,0.713406695,0.697886676,0.683342112,0.668755366,0.653543157,0.637672495,0.624769151,0.608669984,0.593171216,0.578564919,0.564796002,0.55175805,0.539554066,0.528288046,0.517975077,0.508607188,0.500027981,0.486835807,0.483964477,0.475884257,0.467639357,0.459293725,0.450891913,0.44709471,0.404951841,0.397271802,0.38965256,0.382110601
Canada,CAN,2.214677125,2.193840962,2.172522639,2.152911881,2.132132881,2.094552224,2.061415349,2.034002283,2.006143313,1.976758717,1.95033735,1.922402238,1.892984777,1.862165539,1.842291011,1.835434527,1.831627559,1.827820571,1.818525597,1.810120482,1.789778589,1.77321653,1.757567504,1.742579601,1.726415814,1.706440678,1.68700502,1.659593119,1.637364614,1.617581797,1.597568156,1.579868632,1.564480182,1.551304763,1.534414716,1.520615463,1.509823822,1.49967868,1.488802296,1.476100238,1.458006505,1.438723324,1.419565557,1.400903689,1.385056818,1.358644424,1.33111659,1.30323706,1.276184394,1.251150897,1.321238845,1.306054566
Switzerland,CHE,0.071351489,0.068121386,0.066295541,0.064492753,0.062690077,0.060649706,0.059280975,0.058666443,0.057580826,0.05744038,0.057978366,0.057520222,0.0576213,0.058198678,0.058627492,0.058890265,0.059744612,0.059878955,0.060306282,0.060528096,0.060848255,0.061460345,0.062466382,0.062593069,0.062129812,0.060915744,0.061000524,0.061472154,0.06011449,0.059926664,0.059065964,0.05907817,0.059938846,0.059965739,0.059517665,0.058612711,0.058129387,0.057474876,0.056902251,0.056626316,0.056048572,0.055443513,0.055009557,0.054617953,0.054383163,0.053846338,0.053127258,0.05242883,0.051693892,0.051046472,0.050494813,0.049905147
