Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bolivia,BOL,2.352535058,2.53346747,2.715306659,1.619285714,1.86116259,2.183549149,0.827259717,0.781116321,1.237275593,1.189561547,1.512566179,,1.18936151,0.624082457,0.695541298,0.994198814,0.636009634,0.839945622,1.20193363,1.419130831,1.353966978,1.5416732,2.701645189,1.937764383,1.644824196,1.734417342,1.483409153,1.749135662,2.169005106,1.955784712,1.308946075,1.618788741,1.572845018,1.680666292,1.43279928,1.221342554,0.957578826,1.082897972,1.618560759,1.597937487,1.086026459,1.489786694,1.785929166,1.444075982,1.334602747,1.129844894,0.8859373,0.72423922,0.685259997,0.637151053,0.532400598,0.523227777,0.493534743
Brazil,BRA,2.922020957,2.949165187,2.217360971,1.741886789,1.950759416,1.985415577,2.356397508,1.922234976,1.85104378,2.178320307,1.971958596,2.073259798,2.014876821,1.497433072,1.418145792,1.458699978,1.447775276,1.351868689,1.33536029,1.11600913,0.925132415,1.132453434,1.567983695,1.711051367,2.432690797,2.272938947,3.042882188,3.42862948,2.569200302,2.622701646,2.717835093,4.32086139,3.25136312,2.715518526,3.002887184,2.567666752,2.103448025,2.022682563,1.96871318,1.351876891,1.495766279,1.749913777,1.754816884,1.538390151,1.523360268,1.419296104,1.218040383,1.156239402,1.311285817,1.466503915,1.093238304,1.004703744,0.987540254
Barbados,BRB,,,,,,2.706999299,2.72194639,2.850667547,2.590953162,2.752214695,2.300493548,2.557128549,2.387112596,1.797660872,2.363342618,2.387983778,2.328764071,2.004410417,2.43153308,1.866097761,1.959631433,1.680032741,1.408390472,1.674835036,2.028818475,2.74257095,2.696090122,2.780357261,2.501388523,2.35352932,2.166070012,2.469259368,2.797573829,2.362391159,2.654303977,2.702543118,2.704937588,2.713940806,2.312535332,2.276763007,2.590736338,1.944299677,2.241140969,1.882191185,2.040113865,2.635706698,1.739918011,1.94878635,1.773182603,1.254233032,1.095990958,1.123291472,1.120648989
Brunei Darussalam,BRN,1.041247241,0.7996487,0.837553032,0.711929525,0.782869307,0.771586691,0.508953393,0.511399541,0.274563869,0.157871307,0.248963562,0.266805824,0.227789888,0.156942689,0.207614924,0.243763492,0.245716887,0.213336978,0.222060435,0.244815828,0.198585065,0.315611264,0.217513049,0.192054801,0.213826186,0.277469233,0.251887692,0.406268872,0.351350056,0.44552869,0.537271778,0.371549796,0.765231385,,,0.605605293,0.354323992,,,0.260159611,0.181226706,0.343522387,0.218940731,,0.179288538,,,,,,0.148296889,0.196276065,0.173560319
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744973924,1.203945334,1.264481337,1.381259539,,,,1.887675251,1.291421064,,,,,,0.583301242,0.622625521,1.206321182,2.198737046,2.615618996,2.235865304,3.027629102,2.518495689,,
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852859723,0.82251921,0.807858609,0.803922319,0.769240588,0.880779934,0.747575422,0.851164478,0.828803415,0.882767597,0.825926034,0.705692341,0.699465292,0.546533951,0.465534406
Central African Republic,CAF,1.434779696,1.940056713,1.118753432,0.371793381,0.834062004,0.768103962,0.684856428,0.958071686,0.96201631,0.464755893,,0.45324771,0.661311702,0.384025999,0.582769969,0.477460092,0.667131205,0.389273934,0.906472046,,,,,,,,,0.958940403,,,,0.899318642,6.253158401,9.839005757,13.54383349,1.566187341,1.962362499,2.923687242,4.298133049,4.104987674,3.741006466,5.44625239,32.43137717,27.36082895,42.32149074,1.539309114,2.51243673,2.269788514,2.090555165,2.120652843,2.011323208,1.59385551,0.819073903
Canada,CAN,4.523038647,4.501095519,4.385820393,3.901571064,3.257847609,2.876839663,2.584846476,2.467007769,2.347323899,2.724748637,2.379322633,2.483234639,2.188831062,1.901410239,2.259722517,2.181802461,2.230816132,2.523776326,2.167998615,2.015714321,1.872628368,2.098812575,1.930354657,1.737277804,1.764255633,1.912664829,1.795813387,1.695501497,1.602066888,1.414031838,1.467878955,1.471974419,1.512135239,1.70350991,1.45332111,1.430029419,1.382506885,1.2949144,1.337479889,1.295287538,1.346204508,1.34302253,1.307449641,1.223441012,1.111685945,1.038922299,0.97629503,0.972333502,1.013810914,1.012830976,0.952297117,0.933753654,0.951734592
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.170516617,2.607770865,2.59692232,2.954416821,2.500483662,2.241937261,2.002087932,1.859381792,1.95160965,1.810145942,1.815405119,1.773721806,1.701455513,1.58731484,1.422841657,1.410816247,1.277682354,1.322920294,1.492280144,1.630726707,1.59518575,1.58068711,1.534091307
Switzerland,CHE,6.359743333,6.104769766,5.881604542,5.297478759,5.135237453,5.040907142,4.665072895,4.298034055,3.942969131,3.440625161,3.394212515,3.648864128,3.415898526,3.155986534,3.314787403,3.092059852,2.862221838,2.637412203,2.602252039,2.764839458,2.569303484,2.579830816,2.752927221,2.74932193,2.468584067,2.396128647,2.45117572,2.427497732,2.224365482,1.992259063,2.013621925,1.865953212,1.978300169,1.997916085,1.705614399,1.584183655,1.530613214,1.449401492,1.428065869,1.249454811,1.226202642,1.212707158,1.153883961,1.07804556,1.036192428,1.042482705,0.996208957,0.997695607,1.003915037,0.903469302,0.838804206,0.843522032,0.82934451
